exchange,sa2 code
ar,ag
ae,ag
au,au
ah,au
at,au
aq,au
av,at
bb,be
bs,bz
ct,ca
cm,ca
cv,ca
ta,ca
tn,ca
tx,ca
cj,ca
tr,ca
tv,ca
tg,ca
tk,ca
cn,ca
ci,cl
cs,ch
cg,ch
cb,co
dc,dk
fh,fn
fp,fr
gf,ge
gy,ge
ga,gr
hk,hk
hb,hu
ib,in
ij,id
id,ir
im,it
jt,jp
jo,jp
jq,jp
jn,jp
jp,jp
lx,lu
mk,my
mm,mx
na,nl
nz,nz
no,no
pw,pl
pl,pt
ru,ru
sp,sg
sj,sa
ks,ko
sm,sp
ss,sw
sw,sz
tt,tw
tb,th
ti,tk
ln,uk
ua,us
un,us
uq,us
up,us
ux,us
uc,us
ub,us
us,us
