#bloomberg Ticker,bberg field,SA2 code,Divisor
FR.CPI FRST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,fr.cpirate,100
US.CPI BLS INDEX,YEAR_OVER_YEAR_PERCENT_NSA,us.cpirate,100
GB.RPI ONS INDEX,YEAR_OVER_YEAR_PERCENT_NSA,uk.cpirate,100
AU.CPI AUST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,au.cpirate,100
CA.CPI STCA INDEX,YEAR_OVER_YEAR_PERCENT_NSA,ca.cpirate,100
TW.CPI TWDG INDEX,YEAR_OVER_YEAR_PERCENT_NSA,tw.cpirate,100
KR.CPI KRST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,ko.cpirate,100
HK.CPI HKST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,hk.cpirate,100
SICPIYOY INDEX,PX_LAST,sg.cpirate,100
NO.CPI NOST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,no.cpirate,100
JP.CPI MIAC INDEX,YEAR_OVER_YEAR_PERCENT_NSA,jp.cpirate,100
CH.CPI CHST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,sz.cpirate,100
ITCPNICY INDEX,PX_LAST,it.cpirate,100
NL.CPI NLST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,nl.cpirate,100
DE.CPI DEST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,ge.cpirate,100
SE.CPI SEST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,sw.cpirate,100
SACPIYOY INDEX,PX_LAST,sa.cpirate,100
EU.HICP EUST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,eu.cpirate,100
ES.CPI INE INDEX,YEAR_OVER_YEAR_PERCENT_NSA,sp.cpirate,100
TH.CPI CMMN INDEX,YEAR_OVER_YEAR_PERCENT_NSA,th.cpirate,100
MY.CPI MYST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,my.cpirate,100
ID.CPI IDST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,id.cpirate,100
NZ.CPI NZST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,nz.cpirate,100
MX.CPI MXST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,mx.cpirate,100
CL.CPI CLST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,cl.cpirate,100
CO.CPI COCB INDEX,YEAR_OVER_YEAR_PERCENT_NSA,co.cpirate,100
DK.CPI DKST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,dk.cpirate,100
FI.CPI FIST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,fn.cpirate,100
GR.CPI GRST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,gr.cpirate,100
IE.CPI IEST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,ir.cpirate,100
PT.CPI INEP INDEX,YEAR_OVER_YEAR_PERCENT_NSA,pt.cpirate,100
BR.CPI IBGE INDEX,YEAR_OVER_YEAR_PERCENT_NSA,bz.cpirate,100
AR.CPI INEC INDEX,YEAR_OVER_YEAR_PERCENT_NSA,ag.cpirate,100
AT.CPI ATST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,at.cpirate,100
TR.CPI TRST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,tk.cpirate,100
LU.CPI SCST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,lu.cpirate,100
CZ.CPI CZST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,cz.cpirate,100
LB.CPI LBAS INDEX,YEAR_OVER_YEAR_PERCENT_NSA,lb.cpirate,100
SK.CPI SKST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,sk.cpirate,100
BE.CPI BEST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,be.cpirate,100
PH.CPI PHST INDEX,YEAR_OVER_YEAR_PERCENT_NSA,ph.cpirate,100
IN.CPI INDEX,YEAR_OVER_YEAR_PERCENT_NSA,in.cpirate,100
PL.CPI INDEX,YEAR_OVER_YEAR_PERCENT_NSA,pl.cpirate,100
RU.CPI INDEX,YEAR_OVER_YEAR_PERCENT_NSA,ru.cpirate,100
CN.CPI INDEX,YEAR_OVER_YEAR_PERCENT_NSA,ch.cpirate,100
HU.CPI INDEX,YEAR_OVER_YEAR_PERCENT_NSA,hu.cpirate,100
BG.CPI INDEX,YEAR_OVER_YEAR_PERCENT_NSA,bg.cpirate,100
RO.CPI INDEX,YEAR_OVER_YEAR_PERCENT_NSA,ro.cpirate,100
IL.CPI ILST INDEX,PX_LAST,il.cpirate,100
