#bloomberg Ticker,bberg field,SA2 code,Divisor
BEL20 Index,PX_LAST,be.equity,1
BEL20 Index,TRAIL_12M_EPS,be.equity.earnings,1
BEL20 Index,EQY_DVD_YLD_12M,be.equity.dvd.yld,100
BEL20 Index,TOT_RETURN_INDEX_GROSS_DVDS,be.equity.tr,1
KFX Index,PX_LAST,dk.omx20,1
KFX Index,TRAIL_12M_EPS,dk.omx20.earnings,1
KFX Index,EQY_DVD_YLD_12M,dk.omx20.dvd.yld,100
KFX Index,TOT_RETURN_INDEX_GROSS_DVDS,dk.omx20.tr,1
KAX Index,PX_LAST,dk.equity,1
KAX Index,TRAIL_12M_EPS,dk.equity.earnings,1
KAX Index,EQY_DVD_YLD_12M,dk.equity.dvd.yld,100
KAX Index,TOT_RETURN_INDEX_GROSS_DVDS,dk.equity.tr,1
LUXXX Index,PX_LAST,lu.equity,1
LUXXX Index,TRAIL_12M_EPS,lu.equity.earnings,1
LUXXX Index,EQY_DVD_YLD_12M,lu.equity.dvd.yld,100
LUXXX Index,TOT_RETURN_INDEX_GROSS_DVDS,lu.equity.tr,1
HEX25 Index,PX_LAST,fn.omx25,1
HEX25 Index,TRAIL_12M_EPS,fn.omx25.earnings,1
HEX25 Index,EQY_DVD_YLD_12M,fn.omx25.dvd.yld,100
HEX25 Index,TOT_RETURN_INDEX_GROSS_DVDS,fn.omx25.tr,1
HEXP Index,PX_LAST,fn.equity,1
HEXP Index,TRAIL_12M_EPS,fn.equity.earnings,1
HEXP Index,EQY_DVD_YLD_12M,fn.equity.dvd.yld,100
HEX Index,PX_LAST,fn.equity.tr,1
WIG Index,PX_LAST,pl.equity,1
WIG Index,TRAIL_12M_EPS,pl.equity.earnings,1
WIG Index,EQY_DVD_YLD_12M,pl.equity.dvd.yld,100
WIG Index,PX_LAST,pl.equity.tr,1
WIG20 Index,PX_LAST,pl.wig20,1
WIG20 Index,TRAIL_12M_EPS,pl.wig20.earnings,1
WIG20 Index,EQY_DVD_YLD_12M,pl.wig20.dvd.yld,100
WIG20 Index,TOT_RETURN_INDEX_GROSS_DVDS,pl.wig20.tr,1
MIDWIG Index,PX_LAST,pl.midwig,1
MIDWIG Index,TRAIL_12M_EPS,pl.midwig.earnings,1
MIDWIG Index,EQY_DVD_YLD_12M,pl.midwig.dvd.yld,100
